City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,arraial do cabo,-22.9661,-42.0278,21.92,73,0,5.14,BR,1691065359
83,happy valley-goose bay,53.3168,-60.3315,15.17,82,75,3.09,CA,1691065360
84,natal,-5.795,-35.2094,24.36,100,75,5.66,BR,1691065361
85,tiksi,71.6872,128.8694,3.54,98,100,6.23,RU,1691065362
86,prado,-17.3411,-39.2208,23.41,69,6,1.46,BR,1691065363
87,enriquillo,17.9,-71.2333,25.82,59,96,2.01,DO,1691065365
88,kamloops,50.6665,-120.3192,14.55,69,0,2.06,CA,1691065366
89,pechora,65.1472,57.2244,29.28,35,7,1.36,RU,1691065367
90,west island,-12.1568,96.8225,24.99,73,40,9.77,CC,1691065368
91,afaahiti,-17.75,-149.2833,21.93,77,40,5.46,PF,1691065369
92,shiyan,32.6475,110.7781,28.01,69,69,1.07,CN,1691065370
93,kuala belait,4.5833,114.1833,26.09,77,91,1.02,BN,1691065371
94,khulm,36.6974,67.6983,40.33,11,0,4.2,AF,1691065373
95,olenino,56.2092,33.4889,26.02,54,62,4.48,RU,1691065374
96,ambikapur,23.1167,83.2,25.66,88,98,4.05,IN,1691065090
97,darwin,-12.4611,130.8418,24.99,69,0,1.54,AU,1691065216
98,utrik,11.2278,169.8474,28.35,78,57,7.58,MH,1691065378
99,kostomuksha,64.571,30.5767,17.03,93,100,3.01,RU,1691065379
100,coquimbo,-29.9533,-71.3436,13.85,94,100,1.03,CL,1691065381
101,port alfred,-33.5906,26.891,24.91,38,5,5.74,ZA,1691065383
102,san marcos,33.1434,-117.1661,19.72,87,100,2.06,US,1691065383
103,blackmans bay,-43.0167,147.3167,13.07,72,100,2.38,AU,1691065384
104,susuman,62.7833,148.1667,8.76,71,77,2.31,RU,1691065387
105,az zawr,29.4425,48.2747,43.34,38,0,2.88,KW,1691065388
106,puerto madryn,-42.7692,-65.0385,5.39,40,0,6.55,AR,1691065389
107,alice springs,-23.7,133.8833,17.75,45,40,0.51,AU,1691065390
108,whitehorse,60.7161,-135.0538,11.43,78,20,1.03,CA,1691065391
109,yellowknife,62.456,-114.3525,12.29,100,40,1.03,CA,1691065392
110,south hedland,-20.4089,118.5983,21.96,88,4,2.57,AU,1691065393
111,bafoulabe,13.8065,-10.8321,31.45,59,99,2.67,ML,1691065394
112,cabedelo,-6.9811,-34.8339,25.37,72,71,7.89,BR,1691065395
113,ponta delgada,37.7333,-25.6667,25.4,78,20,6.17,PT,1691065396
114,sevlievo,43.0258,25.1136,38.34,25,1,1.32,BG,1691065397
115,wongsorejo,-7.9908,114.4009,25.1,85,20,4.54,ID,1691065194
116,narrabri,-30.3167,149.7833,12.04,61,22,1.71,AU,1691065165
117,badger,64.8,-147.5333,17.06,82,75,2.06,US,1691065400
118,palu,-0.8917,119.8707,25.74,94,94,0.78,ID,1691065403
119,dudinka,69.4058,86.1778,20.83,41,45,8.22,RU,1691065404
120,isafjordur,66.0755,-23.124,11.02,71,100,2.06,IS,1691065405
121,cockburn town,21.4612,-71.1419,28.55,73,100,4.81,TC,1691065407
122,olyokminsk,60.3736,120.4264,19.18,49,1,1.94,RU,1691065408
123,akureyri,65.6835,-18.0878,9.96,76,75,3.6,IS,1691065189
124,bijawar,24.6333,79.5,26.16,91,100,7.32,IN,1691065410
125,port hedland,-20.3167,118.5667,22.03,88,2,2.57,AU,1691065411
126,thompson,55.7435,-97.8558,13.09,100,0,1.03,CA,1691065412
127,holmsund,63.706,20.3641,19.97,64,20,4.63,SE,1691065413
128,saudarkrokur,65.7461,-19.6394,12.52,65,38,2.26,IS,1691065414
129,tolanaro,-25.0319,46.9987,21.04,56,75,6.17,MG,1691065416
